ID_Producto,nombre_limpio,cantidad_base,unidad_base,categoria_base
4259376,LASANA LA PICHA TRES SABORES CAJA 360 G UNIDAD,"360,00",g,
4201559,LASANA LUCCHETTI ESPINACA PRECOCIDA CAJA 360 G UNIDAD,"360,00",g,
4201576,LASANA LUCCHETTI PRECOCIDA BOLSA 200 G UNIDAD,"200,00",g,
4201593,LASANA LUCCHETTI PRECOCIDA CAJA 360 G UNIDAD,"360,00",g,
4268726,LASANA LUCCHETTI TRES SABORES CAJA 360 G UNIDAD,"360,00",g,
4514871,LASANA TALLIANI ESPINACA PRECOCIDA CAJA 360 G UNIDAD,"360,00",g,
4229099,LECHE CONDENSADA BELLA HOLANDESA AZUCARADA LATA 397 G UNIDAD,"397,00",g,ABARROTES
4275050,LECHE CONDENSADA LECHESUR AZUCARADA LATA 397 G UNIDAD,"397,00",g,ABARROTES
4218032,"LECHE CONDENSADA NESTLE AZUCARADA DOYPACK 4,5 K UNIDAD","4,50",k,ABARROTES
4204551,LECHE CONDENSADA NESTLE AZUCARADA LATA 397 G UNIDAD,"397,00",g,ABARROTES
4250298,LECHE CONDENSADA PARMALAT AZUCARADA LATA 397 G UNIDAD,"397,00",g,ABARROTES
4514633,LECHE CONDENSADA SUR AZUCARADA LATA 397 G UNIDAD,"397,00",g,ABARROTES
4303967,LECHE CULTIVADA COLUN CHIRIMOYA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4518594,LECHE CULTIVADA COLUN CHIRIMOYA BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4290401,LECHE CULTIVADA COLUN DURAZNO BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4518458,LECHE CULTIVADA COLUN DURAZNO BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4518475,LECHE CULTIVADA COLUN FRAMBUESA BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4289483,LECHE CULTIVADA COLUN FRUTILLA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4518492,LECHE CULTIVADA COLUN FRUTILLA BOTELLA 190 ML UNIDAD,"190,00",ml,LACTEOS
4290452,LECHE CULTIVADA COLUN LIGHT CHIRIMOYA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4289585,LECHE CULTIVADA COLUN LIGHT CHIRIMOYA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4290435,LECHE CULTIVADA COLUN LIGHT DURAZNO FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4286117,LECHE CULTIVADA COLUN LIGHT DURAZNO FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4290418,LECHE CULTIVADA COLUN LIGHT FRAMBUESA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4286134,LECHE CULTIVADA COLUN LIGHT FRAMBUESA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4290469,LECHE CULTIVADA COLUN LIGHT FRUTILLA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
4289517,LECHE CULTIVADA COLUN LIGHT FRUTILLA FIBRA BOTELLA 180 ML UNIDAD,"180,00",ml,LACTEOS
4307656,LECHE CULTIVADA COLUN LIGHT LIGHT CHIRIMOYA FIBRA BOTELLA 1 L UNIDAD,"1,00",l,LACTEOS
